question,answer,cat,sub_cat
"I am on Etisalat Postpaid, how I will pay for the apps? ",The amount for every application you purchase will be included in your next bill.,mobilenew,mobile_prepaid
I am on Wasel. How I will pay for the apps?  ,The amount will be deducted immediately from your credit balance. Make sure that you have enough balance before the purchase.,mobilenew,mobile_prepaid
Is there any limit on my purchase?  ,"Below are the limits set for Google Play transactions:
,
- Per transaction limit AED 100
,
- Per day transaction limit AED 200
,
- Per month limit AED 500",mobilenew,mobile_prepaid
How much is the price for each application? ,"Each application has price in AED, so you can easily decide to buy or not (no need to do currency conversion).",mobilenew,mobile_prepaid
Can I use Wi-Fi only?  ,Yes you can.,mobilenew,mobile_prepaid
What if the Application does not work on my handset?,"- In 1st 15 minutes you can refund the application from the google play store itself.
,
- After the initial 15 minutes, please contact the developer, email id will be mentioned on the application page on Google Play Store.",mobilenew,mobile_prepaid
Do I have to pay for this service?  ,"No, there is no additional charge for this service. You just pay for the applications you purchase.",mobilenew,mobile_prepaid
 Do I need special data plan for this service?  ,"No, your Data Plan is enough. Your data usage will be deducted from your plan allowance.",mobilenew,mobile_prepaid
" I am on Etisalat Postpaid, how I will pay for the apps? ",The amount for every application you purchase will be included in your next bill.,mobilenew,mobile_prepaid
What is the difference between satellite and GSM coverage? ,"GSM coverage is based on a group of antenna towers that broadcast the GSM signal in certain areas to enable a phone connection. However, for a satellite network, the satellite station is located 35 thousand kilometres above ground level, which allows for global coverage. So, wherever you will go around the earth, your phone will be able to communicate regardless of your geographic location.",elife_faqs,ana_emarati_faqs
Who is eligible for Ana Emarati Satellite bundle?,Any postpaid customer can activate the Ana Emarati Satellite bundle with his/her postpaid line.,elife_faqs,ana_emarati_faqs
How is Ana Emarati Satellite bundle beneficial to me?,"Some of the benefits include:,• Ultimate connectivity with your family and friends to tell your story from remote areas and beyond boundaries
,
• FREE additional SIM card with your same number to make satellite calls
,
• Great savings",elife_faqs,ana_emarati_faqs
What does Ana Emarati Satellite bundle include and how much it costs?,"The Ana Emarati Satellite bundle includes the below auto-renewed monthly benefits:,With every SatSleeve hotspot device you will get a FREE additional SIM card with your same number to be used inside the device.",elife_faqs,ana_emarati_faqs
How can I subscribe to the Ana Emarati Satellite bundle?,"To subscribe, you would first need to buy the SatSleeve hotspot device from any Etisalat outlet and then activate the satellite add-on.,To activate:
,
Through SMS, send sat to 1012
,
Through USSD, dial *140#",elife_faqs,ana_emarati_faqs
How do I check my satellite bundle balance?,"You can check your bundle balance at any time. Just send TB to 1012 or use the USSD code *140#,However, once you deplete your bundle 100%, you will receive a notification of the same.",elife_faqs,ana_emarati_faqs
What will happen after I consume one or all of my benefits?,"You will be charged for out of bundle rate as below:,• Out of bundle rate for the satellite minute is AED 2
,
• Out of bundle rate for the satellite SMS is AED 1",elife_faqs,ana_emarati_faqs
What will happen to the Ana Emarati satellite bundle after my 12 months contract is over?,"During your 12-month contract period you will pay AED 300 per month against 100 minutes (outgoing/incoming) and 100 SMS on satellite network, after which the monthly rental will be reduced to AED 150 and the satellite hotspot device is totally yours.",elife_faqs,ana_emarati_faqs
How do I set-up my SatSleeve hotspot device and make my first satellite call?,"1. Download and open the Thuraya SatSleeve Hotspot app on your smartphone.
,
2. Insert your FREE secondary SIM in the SatSleeve device.
,
3. Switch on your SatSleeve device by pressing the power button for 3 seconds.
,
4. Turn on your smartphone Wi-Fi and connect to the satellite unit (SATxxxxxxx). Your default password is 12345678.
,
5. Go to an open area and fully extend the antenna on the satellite unit.
,
6. Thuraya network will connect automatically.
,
7. Dial *105# from the hotspot app to activate the SIM inside the SatSleeve device as the primary one.
,
8. All your outgoing/incoming satellite calls will be consumed from your satellite bundle.
,
9. If you want to disconnect from the Thuraya network please remember to change your primary SIM again to the one inside your smartphone by dialling *105#.
,
10. To know which SIM card is primary, dial *#105#.",elife_faqs,ana_emarati_faqs
How much do I pay for the additional SIM card that I get upon purchasing the SatSleeve hotspot device?,The additional SIM is totally FREE with no monthly renewal and it holds your same number.,elife_faqs,ana_emarati_faqs
Can I use the SatSleeve hotspot with any other postpaid number? ,"Yes you can, but you need to activate the satellite bundle on that number. Any satellite calls made will display the mobile number inside the SatSleeve.",elife_faqs,ana_emarati_faqs
Can I activate the satellite bundle on a Wasel line? ,"No, the satellite bundle is only available with a postpaid plan.",elife_faqs,ana_emarati_faqs
Are there any excluded destinations when using the satellite minutes/SMS?,"You can use your satellite minutes to call any UAE number (fixed/mobile) or international number (fixed/mobile). However, calls/SMS to satellite/premium numbers/short codes are excluded from the bundle and normal rates will apply.",elife_faqs,ana_emarati_faqs
What will happen to the Ana Emarati satellite bundle if I move to another postpaid tariff plan?,"You have the freedom to move to any consumer tariff plan and the bundle will remain active. However, if you move to a prepaid or business plan, this will be treated as an early termination of the contract and you will be charged AED 150 multiplied by the remaining months.",elife_faqs,ana_emarati_faqs
Which smartphone models can be used with the Thuraya SatSleeve Hotspot?,"The following smartphone models have been tested:,(iOS 6, 7, 8 and 9)
,
• iPhone 4
,
• iPhone 4s
,
• iPhone 5
,
• iPhone 5s
,
• iPhone 5c
,
• iPhone 6
,
• iPhone 6 plus
,
• iPhone 6s
,
• iPhone 6s plus
,
• iPad Air
,
• iPod Touch
,
							,
Android
,
• Samsung Galaxy S3
,
• Samsung Galaxy S4
,
• Samsung Galaxy S5
,
• Samsung Galaxy S6
,
• Samsung Galaxy S6 Edge
,
• Samsung Galaxy Note 3
,
• Samsung Galaxy Note 5
,
• Samsung Galaxy Note Edge
,
• Samsung Galaxy Note 10.1” 2014 edition tablet
,
• Samsung Galaxy A8
,
• Samsung Galaxy J7
,
• Samsung Galaxy E7
,
• Samsung Galaxy Alpha (tested with Android 4.4)
,
• Huawei Honor 4C (tested with Android 4.4)
,
• Huawei Ascend G750
,
• Huawei Y635
,
• HTC One M8 (tested with Android 4.4)
,
• HTC Desire Eye (tested with Android 4.4)
,
• Sony Xperia Z1 (tested with Android 4.4)
,
• Sony Xperia Z2 (tested with Android 4.4)
,
• CAT S50 smartphone (tested with Android 4.4)
,
• Asus Memo Pad 8 ME180A tablet",elife_faqs,ana_emarati_faqs
How can I change the interface color?,"To fine tune the interface's color to better suit your home setup, please go to ""Setting"", then ""Preferences"", then ""Themes"" and select your prefered ""Theme"".",elife_faqs,elifetv_faqs
What if I don’t have the new eLife TV box / STB (Technicolor)?,"If you do not have the latest Technicolor Box, you may continue to enjoy the existing user interface.",elife_faqs,elifetv_faqs
What are the terms and conditions if I want to upgrade to the new STB and how do I request for this? ,You may request for an additional eLife TV Box to get access to this new eLife experience.,elife_faqs,elifetv_faqs
How can I control Live TV?,"- Pause Live TV for up to 120 minutes, then play and resume the paused program.
,
- Fast-forward your paused program or simply press the stop button to catch-up with Live TV.
,
- Rewind and repeat your favorite parts of the program. - Pause Live TV for up to 120 minutes, then play and resume the paused program.
,
- Fast-forward your paused program or simply press the stop button to catch-up with Live TV.
,
- Rewind and repeat your favorite parts of the program.",elife_faqs,elifetv_faqs
How many hours of TV content can I record?,"
							,This will depend on the type of Set Top Box (STB), but the average is up to 60 hours of video – (SD & HD combination).",elife_faqs,elifetv_faqs
What are the recording choices I have?,"
            , - You can record one live channel while simultaneously watching another., - Pick your favorite programs from the Program Guide and record them.",elife_faqs,elifetv_faqs
How do I see how much recording space I have left?,"Press ""Menu"" key on your remote control, then press the Up Arrow Key to launch the system menu, navigate using the left / right arrow keys and select hard disk information.",elife_faqs,elifetv_faqs
"If I pause live TV on one channel, then change to another channel for a bit, can I go back to watch what I missed on the first channel?","No, if you change the channel the saved material will be that of the new channel.",elife_faqs,elifetv_faqs
"If a Call Display onscreen pop-up appears during a recording or if I view the menu screen, will these images be recorded?","No, it will only record the program you are watching.",elife_faqs,elifetv_faqs
Can I record On Demand (VOD)?,No you cannot record On Demand.,elife_faqs,elifetv_faqs
"If my STB is on stand-by, will it still record a future program?","Yes, the STB will turn on to start recording and turn off when the recording is completed.",elife_faqs,elifetv_faqs
If I reboot my STB will I lose my future scheduled recordings?,"No, all of this information will be saved.",elife_faqs,elifetv_faqs
Can I watch a previously recorded program while recording a new one?,"Yes, recorded material is stored on your STB's hard drive and watching it does not interfere with recording live TV.",elife_faqs,elifetv_faqs
How to pair my Bluetooth device with my STB?,Click on the following link to learn how to pair your Bluetooth device.,elife_faqs,elifetv_faqs
"I have a my own game pad, can I use it with eLife TV Gaming?","Specific USB and Bluetooth GamePads from the retail market that use standard protocols are compatible with eLife TV Gaming, please click on this link for a not so exhaustive list of the controller that have been tested and confirmed to be working with eLife TV Gaming.",elife_faqs,elifetv_faqs
How long will the GamePad that I order on TV or on the Wed take to reach me at Home?,etisalat appointment center will call you for appointment within 24 hours.,elife_faqs,elifetv_faqs
Can I use the etisalat controller with my PC ? ,"Yes, you just need to change the front switch of the controller to “D” mode (X mode for eLife TV Gaming).",elife_faqs,elifetv_faqs
My controller is not working?,"Try replacing the AAA batteries with new ones. If the problem persists, please call 101 and they will assist you with finding the nearest after-sales point.",elife_faqs,elifetv_faqs
I cannot play games in multiplayers mode?,Multiplayer gaming at home or with other subscribers is under development and will be made available soon.,elife_faqs,elifetv_faqs
How much should I pay as monthly rental fees? And what do I get for that rental?,"The Monthly rental for the New Postpaid 500 plan is AED 500 per month added with a lot of benefits:,*smiles points will be given over 12 months period",mobilenew,mobile_postpaid
Is there any minimum commitment period for the New Postpaid 500 Plan?,"Yes, the yearly new postpaid plan has 12 months and 24 months contract options",mobilenew,mobile_postpaid
If I want a new postpaid Connection on the New Postpaid 500 Plan how much should I pay? ,New postpaid connection fees is AED 125.,mobilenew,mobile_postpaid
"If I am an existing postpaid customer, can I migrate to the New Postpaid 500 Plan? ","- If you are a classic postpaid customer OR MyPlan customer without contract OR iPhone customer without contract you can migrate to the new plan by visiting etisalat business center.
,
- If you are a MyPlan customer with contract OR a smart phone “iPhone/Samsung/HTC” plan customer with contract you have to visit the Business Center and terminate the contract and pay the applicable exit charges and then migrate to the new plan.",mobilenew,mobile_postpaid
"If I am an existing prepaid customer, can I migrate to the New Postpaid 500 Plan? ","- Yes, you can migrate to the new plan by visiting your nearest etisalat Business Center.
,
- All the current migration rules and procedures will continue to apply.",mobilenew,mobile_postpaid
What are the usage rates for the New Postpaid 500 Plan? ,"The normal usage rates apply but on per second billing after you consume all the bundled minutes, sms and data.,Or if you do not subscribe to any of the Saving packs.
,
- 0.5 fils per second for local calls for 12 months plans
,
- 0.6 fils per second for local calls for 24 months plans
,
- 18 fils for National SMS.
,
- 60 fils for International SMS.
,
- AED 1/ MB for data usage.
,
- Standard International rates apply on per second basis.",mobilenew,mobile_postpaid
What are the 7 Saving packs that I can subscribe to on top of my New Postpaid 500 Plan? ,"The 7 Saving packs in the new postpaid plan are:
,
1. Local minutes saving pack. (200 local minutes for AED 50/Mth).
,
2. International minutes saving pack. (100 International minutes for AED 50/Mth).
,
3. Flexible minutes saving pack. (150 Flexible minutes for AED 50/Mth).
,
4. Data saving pack. (1GB for AED 50/Mth).
,
5. Flexible SMS saving pack. (500 Flexible SMS for AED 50/Mth).
,
6. Incoming Roaming minutes saving pack. (50 Incoming roaming minutes for AED 50/Mth).
,
7. Unlimited calls to Etisalat numbers saving pack. (1 preferred number for AED 50/Mth).",mobilenew,mobile_postpaid
How much should I pay as monthly rental fees for each of the saving packs?,The monthly rental fee for each saving pack is AED 50/month.,mobilenew,mobile_postpaid
Can I choose only some of the Saving packs? ,"- Yes, you can subscribe to any of the Saving packs that you choose. You can even subscribe and cancel at any time during the month.
,
- Pro-rated rental and allowances will be applied in case you add any of the Saving packs anytime during the month.",mobilenew,mobile_postpaid
Can I choose multiples of the same saving pack? ,"Yes, you can choose to have multiples of the same saving pack up to 10 Saving packs per type of saving pack.",mobilenew,mobile_postpaid
How can I make and manage my Saving Packs? ,"- You can add/remove and increase/decrease any of the Saving packs anytime during the month.
,
- 7 channels you can choose to do so:
,
USSD *140# – download etisalat mobile app – IVR 125 - Etisalat call center 101 - Online (e4me) - Etisalat stores, SMS
,
- When you add any of the Saving packs in the middle of the month the rental is charged on pro rata basis and the allowance is provided in pro rata basis. Ex: customer adds one local minute saving pack in 15th of the month customer is charged only AED25 and gets 100 minutes.
,
- When you remove any of the Saving packs in the middle of the month the rental is not refunded and the remaining allowances will be kept to use till end of the month and will be removed from start of next month.",mobilenew,mobile_postpaid
Will the International minutes saving pack be applied on all countries? ,"The International minutes saving pack will be applied on most of the countries BUT there will be a blacklist of countries that this will not be applied to. Please visit , for more details.",mobilenew,mobile_postpaid
Will the Incoming Roaming saving pack be applied with all operators? ,The Incoming roaming minutes saving pack will be applied on most of the operators BUT there will be a blacklist of operators that this will not be applied to. Please visit www.etisalat.ae for more details.,mobilenew,mobile_postpaid
"If I would like to cancel my New Postpaid 500 Plan connection, how can I do that?",You can cancel the line by visiting your nearest Etisalat store. Please note that you will be charged early termination fee of AED 100* remaining contract months.,mobilenew,mobile_postpaid
How many data units will I get for my package allowance? ,"Etisalat follows uniform data allowance configuration across its packages, and your data units will be based on the below conversion:
,
1 GB = 1,000 MB; 1 MB = 1,000 KB; 1 KB = 1,024 Bytes",mobilenew,mobile_postpaid
"How my data units will be consumed for package, and pay-as-you-go usage? ","When consuming data from a data package, your allowance will be deducted on the basis of 30 KB increments, whereas for pay-as-you-go data usage without any package, you will be rated on a 1 KB pulse.",mobilenew,mobile_postpaid
What is the New Postpaid 1000 Plan?,"Get up to 1000GB data + 5000 local minutes or 2000 flexible minutes for only AED 1000 per month. In addition, you can choose to customize your plan with unbeatable value add-ons. Also Enrich your lifestyle with smiles points where you can use them for shopping, dining, entertainment and great discounts.,*smiles points will be given over 12 months period",mobilenew,mobile_postpaid
How much should I pay as monthly rental fees? And what do I get for that rental?,"The Monthly rental for the New Postpaid 1000 plan is AED 1000 per month and you get:,*smiles points will be given over 12 months period",mobilenew,mobile_postpaid
Is there any minimum commitment period for the New Postpaid 1000 Plan?,"Yes, the yearly new postpaid plan has 12 months and 24 months contract options.",mobilenew,mobile_postpaid
"If I want a new postpaid connection on the New Postpaid 1000 Plan, how much should I pay?",New postpaid connection fees is AED 125.,mobilenew,mobile_postpaid
"If I am an existing postpaid customer, can I migrate to the New Postpaid 1000 Plan?","- If you are a classic postpaid customer OR MyPlan customer without contract OR iPhone customer without contract, you can migrate to the new plan by visiting any Etisalat business center.
,
- If you are a MyPlan customer with a contract OR a smart phone “iPhone/Samsung/HTC” plan customer with contract, you have to visit the Business Center and terminate the contract and pay the applicable exit charges and then migrate to the new plan.",mobilenew,mobile_postpaid
"If I am an existing prepaid customer, can I migrate to the New Postpaid 1000 Plan?","- Yes, you can migrate to the new plan. All you have to do is to pay a visit to the nearest Etisalat Business Center.
,
- All the current migration rules and procedures will continue to apply.",mobilenew,mobile_postpaid
What are the usage rates for the New Postpaid 1000 Plan?,"The normal usage rates apply but on per second billing after you consume all the bundled minutes, SMS's, and data; or if you do not subscribe to any of the Saving packs.
,
- 0.5 fils per second for local calls for 12 months plans
,
- 0.6 fils per second for local calls for 24 months plans
,
- 18 fils for national SMS
,
- 60 fils for international SMS
,
- AED 1/ MB for data usage
,
- Standard International rates apply on per second basis",mobilenew,mobile_postpaid
What are One-time Data Packs?,"One-time Data Packs place convenience before commitment, where you can subscribe multiple times to the same pack, or mix and match different ones, depending on your need. This way, you never run out of Data with the flexible short and long validity options.",mobilenew,mobile_data
What are Auto-renewal Data Plans? ,"Auto-renewal Data Plans offer you peace of mind. No more hassle of re-subscribing to data every day, or month as these plans are automatically renewed at the end of assigned validity. Choose the plan you want and just ensure you have the right balance when it's time to renew and the plan will do the rest.",mobilenew,mobile_data
What’s the ‘Data Bonanza’ on Monthly Data Plus Packs? ,"Etisalat understands your need for more data & is permanently upgrading allowances on all one-time & auto-renewal monthly data packages. Now with ‘Data Bonanza’ you’ll get up to 100% extra social data on Monthly Data Plus Packs.
,
The extra ‘Social Plus ’allowance will cover usage on Facebook, Messenger, WhatsApp , Twitter, WeChat, LinkedIn, Snapchat, Instagram, BOTIM* & C’Me*
,
							,
* Social allowances may be used for messaging, for video and audio calling customer needs to subscribe to Internet Calling Plan (ICP)",mobilenew,mobile_data
How can I activate the Data Packs & Plans? ,"For regular data packages & combos dial *170# for a choice of both one-time packs and auto-renewal plans. In addition, to explore other limited period one-time data packs dial *135#.",mobilenew,mobile_data
Do I have to activate the One-time Data Packs every time they expire? ,"Yes, the one-time packs can be purchased as many times as you wish whenever needed. They can be purchased in addition to your exiting daily or monthly data plans. At the end of the validity period the packs will be expired and you would have to repurchase them again.",mobilenew,mobile_data
What happens in case of the Auto-renewal Data Plans? ,The auto-renewal plans do not need to be subscribed again and are renewed automatically at the end of the assigned validity.,mobilenew,mobile_data
Can I Deactivate these Packs & Plans? ,"For the one-time packs there is no need to deactivate since you have already paid for the data allowance. Once validity expires the pack will be automatically removed from your prepaid line.,The auto-renewal plans can be deactivated from the USSD Menu *170#.",mobilenew,mobile_data
Can I purchase multiple Data Packs or Plans of the same category at the same time? ,"Yes, you can purchase multiple one-time packs of the same category at the same time - each pack will have its own allowance and validity period.,Multiple subscription to auto-renewal plans will reset the renewal date, while both allowances will be available for usage.",mobilenew,mobile_data
What happens if I don't use all my data allowance within the validity period?,Any remaining MBs will automatically expired and won't be carried over.,mobilenew,mobile_data
How can I monitor my remaining balance? ,"You can keep track of your data usage using the below three options:
,
- Via SMS: SMS 'DATA' to 1010
,
- Via USSD: Dial *170#
,
- Via Etisalat UAE Mobile App,You will also be notified via SMS in the following cases:
,
- On consuming 80%, 90%, and 100% of data packages",mobilenew,mobile_data
Can I use the Data Packs and Plans on my BlackBerry? ,If you have a BB10 operating system and above you can enjoy any of the data packs and plans. Older BB operating system customers would not be able to benefit from these.,mobilenew,mobile_data
What happens if I don't have enough balance in my account?,"- First time subscription: You will have to recharge your wasel prepaid account within 7 days, and the package will be activated automatically.
,
- Auto-Renewal: You will have a grace period of 10 days to recharge your account in order to continue enjoying the plan, after which the plan will be removed from your account. Once removed and you have enough balance, you will have to activate the plan again.",mobilenew,mobile_data
How many data units will I get for my package allowance? ,"Etisalat follows uniform data allowance configuration across its packages, and your data units will be based on the below conversion:
,
1 GB = 1,000 MB; 1 MB = 1,000 KB; 1 KB = 1,024 Bytes",mobilenew,mobile_data
"How my data units will be consumed for package, and pay-as-you-go usage? ","When consuming data from a data package, your allowance will be deducted on the basis of 30 KB increments, whereas for pay-as-you-go data usage without any package, you will be rated on a 1 KB pulse.",mobilenew,mobile_data
What is Data Bonanza on postpaid Monthly Data Plus Packs? ,"Etisalat understands your need for more data and is permanently upgrading allowances on all auto-renewal monthly data packages. Now with ‘Data Bonanza’ you will get up to 100% extra social data on Monthly Data Plus Packs.,The extra ‘Social Plus ’allowance will cover usage on Facebook, Messenger, WhatsApp , Twitter, LinkedIn, Snapchat, WeChat, Instagram, BOTIM* & C’Me*
,
							,
* Social allowances may be used for messaging, for video and audio calling customer needs to subscribe to Internet Calling Plan (ICP)",mobilenew,mobile_data
How much Social Plus data will be added to each data pack? Is it 100% for all? ,You will receive up to 100% extra Social Plus data with every data pack.,mobilenew,mobile_data
Do I need to pay extra charges for Social Plus data?,"No, you do not need to pay any extra cost for Social Plus data. You will enjoy extra Social Plus data with all mentioned data packages at no extra cost.",mobilenew,mobile_data
Will I get Social Plus data in unlimited pack?,"No, there is no additional Social Plus data in unlimited pack. You can enjoy 100GB data at full speed within a bill cycle; after 100GB, the speed is throttled to 64Kbps.",mobilenew,mobile_data
What will happen if I purchase a data pack?,You will receive the extra Social Plus data along with your main data immediately.,mobilenew,mobile_data
How I will be able to purchase the Data Plus Packs?,"You can purchase the data packs via SMS, USSD, IVR, Mobile app, calling customer care 101 or by visiting any Etisalat Business Centres.",mobilenew,mobile_data
What happens if I do not use all my data allowance within the validity period? ,Any remaining MBs will automatically expire and will not be carried over.,mobilenew,mobile_data
How can I monitor my remaining balance? ,"You can keep track of your data usage using the below three options:
,
- Via SMS: SMS ‘DATA’ to 1010
,
- Via USSD: Dial *170#
,
- Via Etisalat UAE Mobile App
,
You will also be notified via SMS in the following cases:
,
- On consuming 80%, 90% and 100% of data packages",mobilenew,mobile_data
 I am on Wassel. How I will pay for the apps?  ,The amount will be deducted immediately from your credit balance. Make sure that you have enough balance before the purchase.,mobilenew,mobile_prepaid
How much is the price for each application? ,"Each application has price on the store, so you can easily decide to buy or not. No additional charges will apply.",mobilenew,mobile_prepaid
Can I use Wi-Fi only?  ,"Yes, enter your mobile number and verification of your mobile number will be done.",mobilenew,mobile_prepaid
What if the Application does not work on my handset?,"Please contact the Windows Phone support, call the support line or send an email.",mobilenew,mobile_prepaid
Do I have to pay for this service?  ,"No, there are no additional charges for this service. You just pay for the applications you purchase.",mobilenew,mobile_prepaid
Do I need special data plan for this service?  ,"No, your Data Plan is enough. Your data usage will be deducted from your plan allowance.",mobilenew,mobile_prepaid
" I am on Etisalat Postpaid, how I will pay for the apps? ",The amount for every application you purchase will be included in your next bill.,mobilenew,mobile_prepaid
I am on Wasel. How I will pay for the apps?  ,The amount will be deducted immediately from your credit balance. Make sure that you have enough balance before the purchase.,mobilenew,mobile_prepaid
How much is the price for each application? ,"Each application has price in AED, so you can easily decide to buy or not (no need to do currency conversion). No additional charges will apply.",mobilenew,mobile_prepaid
 Can I use Wi-Fi only?  ,"Yes, verification of your mobile number will be done.",mobilenew,mobile_prepaid
What if the Application does not work on my handset?,"Please contact the Samsung Apps support, call the support line or send an email.",mobilenew,mobile_prepaid
What are the Monthly Combo Packs?,"The Monthly Combo packs are comprehensive packs containing voice minutes and data that serve the needs of light, medium, and high-end users. Wasel-Prepaid customers can choose the package that suits them the best and save on their monthly spends.,*Flexi Minutes are applicable for Local &  International calls. International calls are applicable to call ,. Any additional minutes will be charged at regular rates.",mobilenew,mobile_prepaid
How can I activate the Monthly Combo Packs?,"To activate it, just dial *170*6# and choose Combos. Once activated, you’ll receive an SMS confirmation.",mobilenew,mobile_prepaid
What’s the duration of the subscription and validity period of the pack?,"Once activated, you’ll enjoy the plan benefits for 30 days. The plan will be automatically renewed every month.",mobilenew,mobile_prepaid
Can I Deactivate the pack?,You can deactivate your Monthly Combo plan anytime by dialing *170*6# and choosing Combos. The remaining allowances will remain valid until their expiry time.,mobilenew,mobile_prepaid
How many packs can be purchased per day?,"You can activate as many packs as you wish. Each pack will have its own allowance as well as validity period. If you use all your included allowance before the end of the validity period, the remaining usage will be charged as per your recharge type / current tariff plan unless you purchase a new pack.",mobilenew,mobile_prepaid
Can I still enjoy my current prepaid tariff plan?,"Yes, you can continue to benefit from your existing tariff. All your flexi minutes, data and social data usage will first be consumed from your monthly combo pack’s allowance. Any usage beyond that will be consumed as per standard rates from your International Plus Balance, followed by your Credit Plus Balance, followed by your Main Account balance as per your existing tariff plan rate.",mobilenew,mobile_prepaid
What happens if I don’t use all my units within the 30 days?,Any unused Minutes or Data allowance will automatically expire and can’t be carried over.,mobilenew,mobile_prepaid
How can I find out my remaining balance?,"After each call, you’ll receive an SMS containing details of your remaining minutes. For data, you’ll receive an SMS once you’ve used all your allowance. You can also check your remaining balance at any time by dialing *170*6#, and choosing Combo Balance.",mobilenew,mobile_prepaid
Can I use the Monthly Combo Packs on my BlackBerry?,"If you are a Blackberry customer, you can use the flexi minutes as usual. However, to get the benefit of the data allowance, you need to have a BB10 operating system and above.",mobilenew,mobile_prepaid
What countries are included in the Monthly Combo Packs?,"You can call , with the International Minutes Packs.",mobilenew,mobile_prepaid
What happens if I don’t have enough balance in my account?,You will have to recharge your wasel prepaid account and activate.,mobilenew,mobile_prepaid
How many data units will I get for my package allowance? ,"Etisalat follows uniform data allowance configuration across its packages, and your data units will be based on the below conversion:
,
1 GB = 1,000 MB; 1 MB = 1,000 KB; 1 KB = 1,024 Bytes",mobilenew,mobile_prepaid
"How my data units will be consumed for package, and pay-as-you-go usage? ","When consuming data from a data package, your allowance will be deducted on the basis of 30 KB increments, whereas for pay-as-you-go data usage without any package, you will be rated on a 1 KB pulse.",mobilenew,mobile_prepaid
Who is eligible to use Multi-SIM?,Multi SIM service is applicable for Consumer plans (Postpaid and Prepaid) only. Multi SIM service is not applicable for Business customers.,mobilenew,mobile_prepaid
What are the 7 Saving Packs that I can subscribe to on top of my New Postpaid 1000 Plan?,"The 7 Saving Packs in the new postpaid plan are:
,
1. Local minutes saving pack. (200 local minutes for AED 50/month).
,
2. International minutes saving pack. (100 International minutes for AED 50/month).
,
3. Flexible minutes saving pack. (150 Flexible minutes for AED 50/month).
,
4. Data saving pack. (1GB for AED 50/month).
,
5. Flexible SMS saving pack. (500 Flexible SMS for AED 50/month).
,
6. Incoming Roaming minutes saving pack. (50 Incoming roaming minutes for AED 50/month).
,
7. Unlimited calls to Etisalat numbers saving pack. (1 preferred number for AED 50/month).",mobilenew,mobile_postpaid
How much should I pay as monthly rental fees for each of the saving packs?,The monthly rental fee for each saving pack is AED 50/month.,mobilenew,mobile_postpaid
Can I choose only some of the Saving Packs?,"- Yes, you can subscribe to any of the Saving packs that you choose. You can even subscribe and cancel at any time during the month.
,
- Pro-rated rental and allowances will be applied in case you add any of the Saving packs anytime during the month.",mobilenew,mobile_postpaid
Can I choose multiples of the same saving pack?,"Yes, you can choose to have multiples of the same saving pack, up to 10 saving packs per type.",mobilenew,mobile_postpaid
How can I manage my Saving Packs?,"You can add/remove and increase/decrease any of the Saving Packs anytime during the month.
,
To do so, you can use 7 channels:
,
- USSD *140#
,
– download Etisalat Mobile App
,
– IVR 125
,
- Etisalat call center 101
,
- Online
,
- Etisalat stores
,
- SMS
,
When you add any of the Saving packs in the middle of the month, the rental is charged on pro rata basis and the allowance is provided in pro rata basis. For example: a customer adds one local minute saving pack in 15th of the month; the customer is charged only AED 25 and gets 100 minutes.
,
When you remove any of the Saving packs in the middle of the month, the rental is not refunded and the remaining allowances will be kept for usage until the end of the month and will be removed as of the coming month.",mobilenew,mobile_postpaid
Will the International minutes saving pack be applied to all countries?,"The International Minutes Saving Pack will be applied to most of the countries; however, there is a blacklist of countries that this will not be applied to. Please, visit , for more details.",mobilenew,mobile_postpaid
Will the Incoming Roaming Saving Pack be applied to all operators?,"The Incoming Roaming Minutes Saving Pack will be applied to most of the operators; however, there is a blacklist of operators that this will not be applied to. Please, visit , for more details.",mobilenew,mobile_postpaid
"If I would like to cancel my New Postpaid 1000 Plan connection, how can I do that?",You can cancel the line by visiting your nearest Etisalat store. Please note that you will be charged an early termination fee of AED 100* remaining contract months.,mobilenew,mobile_postpaid
How many data units will I get for my package allowance? ,"Etisalat follows uniform data allowance configuration across its packages, and your data units will be based on the below conversion:
,
1 GB = 1,000 MB; 1 MB = 1,000 KB; 1 KB = 1,024 Bytes",mobilenew,mobile_postpaid
"How my data units will be consumed for package, and pay-as-you-go usage? ","When consuming data from a data package, your allowance will be deducted on the basis of 30 KB increments, whereas for pay-as-you-go data usage without any package, you will be rated on a 1 KB pulse.",mobilenew,mobile_postpaid
What is Etisalat Emirati Plan?,"Etisalat Emirati Plan is an exciting new plan which offers voice, data and minutes to preferred numbers .That covers your local calls and data usage.",mobilenew,mobile_postpaid
What are the charges for the Local calls after the included minutes are over?,Local calls out of the included minutes are charged at 0.5 fils/second.,mobilenew,mobile_postpaid
What are the charges for the International calls after the included minutes are over?,"International calls out of the included minutes are charged at 2 fils/second for 175 countries.,International calls out of the included minutes are charged at 6 fils/second for 48 countries.",mobilenew,mobile_postpaid
What are charges for data usage after the included data is over?,The data usage out of the included data is charged at AED 1/MB.,mobilenew,mobile_postpaid
If I upgrade/downgrade my Etisalat Emirati plan will my included Local minutes/data and monthly charges be pro-rated?,"If you upgrade or downgrade your plan, your Local minutes and charges will be pro-rated, but your data units won't be pro-rated you will get the full data allowance.",mobilenew,mobile_postpaid
